HBM_CATMAN_DATAFILE_40

07.12.2010
09:05
CHANNELS: 7
SEPARATOR: 9
MAXLINES: 468                

Zeit Spider CH=1	Kraft CH=2	DD1-1 CH=3	DD1-2 CH=4	Dehnung DD1-1 CH=5	Dehnung DD1-2 CH=6	MW Dehnung CH=7
s	kN	µm	µm	mm/m	mm/m	mm/m
07.12.2010-09:05	07.12.2010-09:05	07.12.2010-09:05	07.12.2010-09:05	07.12.2010-09:05	07.12.2010-09:05	07.12.2010-09:05
		c4/250		c3/250	c4/250	(c5+c6)/2+1
T0 =07.12.10 09:01:48	T0 =07.12.10 09:01:48	T0 =07.12.10 09:01:48	T0 =07.12.10 09:01:48	T0 =07.12.10 09:01:48	T0 =07.12.10 09:01:48	T0 =07.12.10 09:01:48
dt =500 ms	dt =500 ms	dt =500 ms	dt =500 ms	dt =500 ms	dt =500 ms	dt =500 ms
CH 0	CH 4 - 1	CH 5 - 1	CH 6 - 1	CH 1	CH 0 - 1	CH 0
Serien Nr. (Elektronik / AP) Nicht verfügbar	Serien Nr. (Elektronik / AP) Nicht verfügbar	Serien Nr. (Elektronik / AP) Nicht verfügbar	Serien Nr. (Elektronik / AP) Nicht verfügbar	Serien Nr. (Elektronik / AP) Nicht verfügbar	Serien Nr. (Elektronik / AP) Nicht verfügbar	Serien Nr. (Elektronik / AP) Nicht verfügbar
Nicht verfügbar ID=0	SR55 4800 Hz TF-Verstärker (Erweiterungsmodul) ID=5053	SR55 4800 Hz TF-Verstärker (Erweiterungsmodul) ID=5053	SR55 4800 Hz TF-Verstärker (Erweiterungsmodul) ID=5053	SR55 4800 Hz TF-Verstärker + Impulsmessung (Basisplatine) ID=5051	SR55 4800 Hz TF-Verstärker + Impulsmessung (Basisplatine) ID=5051	Nicht verfügbar ID=0
Nicht verfügbar ID=0	Nicht verfügbar ID=0	Nicht verfügbar ID=0	Nicht verfügbar ID=0	Nicht verfügbar ID=0	Nicht verfügbar ID=0	Nicht verfügbar ID=0
Nicht verfügbar ID=0	DC Spannung ID=420	DMS Vollbrücke ID=350	DMS Vollbrücke ID=350	DMS Vollbrücke ID=350	Impulsmessung (Flanke+Richtung) ID=521	Nicht verfügbar ID=0
x1=0 y1=0;x2=0 y2=0	x1=0 y1=0;x2=0 y2=0	x1=0 y1=0;x2=0 y2=0	x1=0 y1=0;x2=0 y2=0	x1=0 y1=0;x2=0 y2=0	x1=0 y1=0;x2=0 y2=0	x1=0 y1=0;x2=0 y2=0
         (Elektr.)	V        (Elektr.)	mV/V     (Elektr.)	mV/V     (Elektr.)	mV/V     (Elektr.)	DIG      (Elektr.)	         (Elektr.)
         (Physik.)	         (Physik.)	         (Physik.)	         (Physik.)	         (Physik.)	         (Physik.)	         (Physik.)
0  Endwert	0  Endwert	0  Endwert	0  Endwert	0  Endwert	0  Endwert	0  Endwert
